Name,Location,Date,Year,Fatalities,Injured,Total,Venue,Latitude,Longitude,Type,,Summary
Stoneman Douglas High School shooting,"Parkland, Florida",2/14/2018,2018,17,14,31,School,,,Mass,,"Nikolas J. Cruz, 19, heavily armed with an AR-15, tactical gear, and “countless magazines” of ammo, according to the Broward County Sheriff, attacked the high school as classes were ending for the day, killing at least 17 people and injuring many others. He was apprehended by authorities shortly after fleeing the campus."
Pennsylvania carwash shooting,"Melcroft, PA",1/28/2018,2018,4,1,5,Other,,,Mass,,"Timothy O'Brien Smith, 28, wearing body armor and well-stocked with ammo, opened fire at a carwash early in the morning in this rural community, killing four people. A fifth victim, though not shot, suffered minor injuries. One of the deceased victims, 25-year-old Chelsie Cline, had been romantically involved with Smith and had broken off the relationship recently, according to her sister. Smith shot himself in the head and died later that night at the hospital."
Rancho Tehama shooting spree,"Rancho Tehama, CA",11/14/2017,2017,5,10,15,Other,,,Spree,,"Kevin Janson Neal, 44, went on an approximately 45-minute shooting spree in the rural community of Rancho Tehama Reserve in Northern California, including shooting up an elementary school, before being killed by law enforcement officers. Neal had also killed his wife at home."
Texas First Baptist Church massacre,"Sutherland Springs, TX",11/5/2017,2017,26,20,46+,Religious,32.7801052,-96.8000082,Mass,,"Devin Patrick Kelley, a 26-year-old ex-US Air Force airman, opened fire at the First Baptist Church in Sutherland Springs during Sunday morning services, killing at least 26 people and wounding and injuring 20 others. He left the church and fled in his vehicle after engaging in a gunfight with a local citizen; he soon crashed his vehicle and died from a self-inflicted gunshot wound."
Walmart shooting in suburban Denver,"Thornton, CO",11/1/2017,2017,3,0,3,Other,43.0605671,-88.1064787,Mass,,"Scott Allen Ostrem, 47, walked into a Walmart in a suburb north of Denver and fatally shot two men and a woman, then left the store and drove away. After an all-night manhunt, Ostrem, who had financial problems but no serious criminal history, was captured by police after being spotted near his apartment in Denver."
Edgewood businees park shooting,"Edgewood, MD",10/18/2017,2017,3,3,6,Workplace,,,Mass,,"Radee Labeeb Prince, 37, fatally shot three people and wounded two others around 9am at Advance Granite Solutions, a home remodeling business where he worked near Baltimore. Hours later he shot and wounded a sixth person at a car dealership in Wilmington, Delaware. He was apprehended that evening following a manhunt by authorities."
Las Vegas Strip massacre,"Las Vegas, NV",10/1/2017,2017,58,546,604,Other,32.693397,-97.47067092,Mass,,"Stephen Craig Paddock, 64, rained a barrage of rapid gunfire down on thousands of concertgoers on the Las Vegas Strip late on a Sunday night, firing from a corner suite on the 32nd floor of the Mandalay Bay Resort and Casino. Soon thereafter, he was found by law enforcement inside the hotel room, deceased from a self-inflicted gunshot wound."
San Francisco UPS shooting,"San Francisco, CA",6/14/2017,2017,3,2,5,Workplace,,,Mass,,"Jimmy Lam, 38, fatally shot three coworkers and wounded two others inside a UPS facility in San Francisco. Lam killed himself as law enforcement officers responded to the scene."
Pennsylvania supermarket shooting,"Tunkhannock, PA",6/7/2017,2017,3,0,3,Workplace,35.047157,-85.311819,Mass,,"Randy Stair, a 24-year-old worker at Weis grocery fatally shot three of his fellow employees. He reportedly fired 59 rounds with a pair of shotguns before turning the gun on himself as another co-worker fled the scene for help and law enforcement responded."
Florida awning manufacturer shooting,"Orlando, Florida",6/5/2017,2017,5,0,5,Workplace,,,Mass,,"John Robert Neumann, Jr., 45, a former employee of manufacturer Fiamma Inc. fatally shot five workers at the company, and then killed himself on the scene. He'd been fired from the company in April. The attack took place a week before the one-year anniversary of the Orlando nightclub massacre."
Rural Ohio nursing home shooting,"Kirkersville, Ohio",5/12/2017,2017,3,0,3,Workplace,38.874981,-76.99453,Mass,,"Thomas Hartless, 43, shot and killed a former girlfriend and another employee of a nursing home, and then fatally shot the Kirkersville police chief responding to the scene. Hartless' former girlfriend had recently obtained a court protection order against Hartless. Investigators later found more than 60 firearms in the home of Hartless, who was also found dead at the scene of the attack."
Fresno downtown shooting,"Fresno, California",4/18/2017,2017,3,0,3,Other,,,Mass,,"Kori Ali Muhammad, 39, opened fire along a street in downtown Fresno, killing three people randomly in an alleged hate crime prior to being apprehended by police. Muhammad, who is black, killed three white victims and later described his attack as being racially motivated; he also reportedly yelled 'Allahu Akbar' at the time he was arrested, but authorities indicated they found no links to Islamist terrorism."
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",1/6/2017,2017,5,6,11,Airport,37.3688301,-122.0363496,Mass,,"Esteban Santiago, 26, flew from Alaska to Fort Lauderdale, where he opened fire in the baggage claim area of the airport, killing five and wounding six before police aprehended him. "
Cascade Mall shooting,"Burlington, WA",9/23/2016,2016,5,0,5,Other,48.050824,-122.176918,Mass,,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macy’s department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence. "
Baton Rouge police shooting,"Baton Rouge, LA",7/17/2016,2016,3,3,6,Other,,,Spree,,"Gavin Long, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior."
Dallas police shooting,"Dallas, Texas",7/7/2016,2016,5,11,16,Other,41.4123225,-73.31142358,Mass,,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb."
Orlando nightclub massacre,"Orlando, Florida",6/12/2016,2016,49,53,102,Other,37.8043808,-122.2708166,Mass,,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff."
Excel Industries mass shooting,"Hesston, Kansas",2/25/2016,2016,3,14,17,Workplace,31.2011305,-97.77156996,Mass,,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order."
Kalamazoo shooting spree,"Kalamazoo County, Michigan",2/20/2016,2016,6,2,8,Other,41.9294736,-88.7503647,Mass,,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began."
San Bernardino mass shooting,"San Bernardino, California",12/2/2015,2015,14,21,35,"
Workplace",35.6672015,-97.42937037,Mass,,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV."
Planned Parenthood clinic,"Colorado Springs, Colorado",11/27/2015,2015,3,9,12,Workplace,47.61864486,-117.6483587,Mass,,"Robert Lewis Dear, 57, shot and killed a police officer and two citizens when he opened fire at a Planned Parenthood health clinic in Colorado Springs, Colorado. Nine others were wounded. Dear was arrested after an hours-long standoff with police."
Colorado Springs shooting rampage,"Colorado Springs, Colorado",10/31/2015,2015,3,0,3,Other,37.2295733,-80.4139393,Mass,,"Noah Harpham, 33, shot three people before dead in Colorado Springs before police killed him in a shootout."
Umpqua Community College shooting,"Roseburg, Oregon",10/1/2015,2015,9,9,18,School,35.345802,-79.4170543,Mass,, 26-year-old Chris Harper Mercer opened fire at Umpqua Community College in southwest Oregon. The gunman shot himself to death after being wounded in a shootout with police.
Chattanooga military recruitment center,"Chattanooga, Tennessee",7/16/2015,2015,5,2,7,Military,26.1223084,-80.1433786,Mass,,"Kuwaiti-born Mohammod Youssuf Abdulazeez, 24, a naturalized US citizen, opened fire at a Naval reserve center, and then drove to a military recruitment office where he shot and killed four Marines and a Navy service member, and wounded a police officer and another military service member. He was then fatally shot in an exchange of gunfire with law enforcement officers responding to the attack."
Charleston Church Shooting,"Charleston, South Carolina",6/17/2015,2015,9,1,10,Religious,25.796491,-80.226683,Mass,,"Dylann Storm Roof, 21, shot and killed 9 people after opening fire at the Emanuel AME Church in Charleston, South Carolina. According to a roommate, he had allegedly been “planning something like that for six months."""
Trestle Trail bridge shooting,"Menasha, Wisconsin",6/11/2015,2015,3,1,4,Other,39.9589,-76.0806,Mass,,"Sergio Valencia del Toro, 27, in what officials say was a random act, shot and killed three people including an 11-year-old girl before turning the gun on himself."
Marysville-Pilchuck High School shooting,"Marysville, Washington",10/24/2014,2014,5,1,6,School,38.5833862,-90.406785,Mass,,"Jaylen Fryberg, 15, using a .40-caliber Berretta, shot five 
students at Marysville High School, including two of his cousins and three friends, killing all but one. Fryberg arranged to meet them for lunch in the school cafeteria by text. Fryberg was reportedly well-liked at the school and there was not believed to be any ill-will between him and his victims. He committed suicide at the scene."
Isla Vista mass murder,"Santa Barbara, California",5/23/2014,2014,6,13,19,School,41.2587317,-95.9378732,Mass,,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment."
Fort Hood shooting 2,"Fort Hood, Texas",4/3/2014,2014,3,12,15,Military,27.823713,-97.41739794,Mass,,"Army Specialist Ivan Lopez, 34, opened fire at the Fort Hood Army Post in Texas, killing three and wounding at least 12 others before shooting himself in the head after engaging with military police. Lt. Gen. Mark A. Milley told reporters that Lopez ""had behavioral health and mental health"" issues."
Alturas tribal shooting,"Alturas, California",2/20/2014,2014,4,2,6,Other,47.876346,-95.0169401,Spree,,"Cherie Lash Rhoades, 44, opened fire at the Cedarville Rancheria Tribal Office and Community Center, killing four and wounding two. After running out of ammunition, Rhoades grabbed a butcher knife and stabbed another person."
Washington Navy Yard shooting,"Washington, D.C.",9/16/2013,2013,12,8,20,Military,39.754713,-104.835869,Mass,,"Aaron Alexis, 34, a military veteran and contractor from Texas, opened fire in the Navy installation, killing 12 people and wounding 8 before being shot dead by police."
Hialeah apartment shooting,"Hialeah, Florida",7/26/2013,2013,7,0,7,"Other
",,,Mass,,"Pedro Vargas, 42, set fire to his apartment, killed six people in the complex, and held another two hostages at gunpoint before a SWAT team stormed the building and fatally shot him."
Santa Monica rampage,"Santa Monica, California",6/7/2013,2013,6,3,9,"Other
",32.788387,-79.933143,Mass,,"John Zawahri, 23, armed with a homemade assault rifle and high-capacity magazines, killed his brother and father at home and then headed to Santa Monica College, where he was eventually killed by police."
Pinewood Village Apartment shooting,"Federal Way, Washington",4/21/2013,2013,5,0,5,"Other
",42.8858503,-87.8631362,Mass,,"Dennis Clark III, 27, shot and killed his girlfriend in their shared apartment, and then shot two witnesses in the building's parking lot and a third victim in another apartment, before being killed by police."
Mohawk Valley shootings,"Herkimer County, New York",3/13/2013,2013,5,2,7,Other,39.6021065,-104.9877273,Mass,,"Kurt Myers, 64, shot six people in neighboring towns, killing two in a barbershop and two at a car care business, before being killed by officers in a shootout after a nearly 19-hour standoff."
Sandy Hook Elementary massacre,"Newtown, Connecticut",12/14/2012,2012,27,2,29,School,45.5719072,-88.9028922,Mass,,"Adam Lanza, 20, shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children and six adults before committing suicide."
Accent Signage Systems shooting,"Minneapolis, Minnesota",9/27/2012,2012,7,1,8,Workplace,,,Mass,,"Andrew Engeldinger, 36, upon learning he was being fired, went on a shooting rampage, killing the business owner, three fellow employees, and a UPS driver. He then killed himself."
Sikh temple shooting,"Oak Creek, Wisconsin",8/5/2012,2012,7,3,10,Religious,25.8670105,-80.29146268,Mass,,"U.S. Army veteran Wade Michael Page, 40, opened fire in a Sikh gurdwara before he died from a self-inflicted gunshot would during a shootout with police."
Aurora theater shooting,"Aurora, Colorado",7/20/2012,2012,12,70,82,Other,44.0462362,-123.0220289,Spree,,"James Holmes, 24, opened fire in a movie theater during the opening night of ""The Dark Night Rises"" and was later arrested outside."
Seattle cafe shooting,"Seattle, Washington",5/20/2012,2012,6,1,7,Other,35.8209895,-90.6682606,Mass,,"Ian Stawicki, 40, gunned down four patrons at a cafe, and another person during a carjacking nearby, then shot himself as police closed in. (He died later that day in a Seattle hospital.)"
Oikos University killings,"Oakland, California",4/2/2012,2012,7,3,10,School,40.7606467,-111.89109,Mass,,"One L. Goh, 43, a former student, opened fire in a nursing classroom. He fled the scene by car and was arrested nearby a few hours later."
Su Jung Health Sauna shooting,"Norcross, Georgia",2/22/2012,2012,5,0,5,Other,39.07868761,-121.5475762,Mass,,"Jeong Soo Paek, 59, returned to a Korean spa from which he'd been kicked out after an altercation. He gunned down two of his sisters and their husbands before committing suicide."
Seal Beach shooting,"Seal Beach, California",10/14/2011,2011,8,1,9,Other,41.6606893,-91.5302214,Mass,,"Scott Evans Dekraai, 42, opened fire inside a hair salon and was later arrested."
IHOP shooting,"Carson City, Nevada",9/6/2011,2011,5,7,12,Other,37.9577016,-121.2907796,Mass,,"Eduardo Sencion, 32, opened fire at an International House of Pancakes restaurant and later died from a self-inflicted gunshot wound."
Tucson shooting,"Tucson, Arizona",1/8/2011,2011,6,13,19,Other,,,Mass,,"Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (D-Ariz.) before he was subdued by bystanders and arrested."
Hartford Beer Distributor shooting,"Manchester, Connecticut",8/3/2010,2010,9,2,11,Workplace,,,Mass,,"Omar S. Thornton, 34, shot up his Hartford Beer Distributor workplace after facing disciplinary issues, then committed suicide."
Coffee shop police killings,"Parkland, Washington",11/29/2009,2009,4,1,5,Other,,,Mass,,"Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt."
Fort Hood massacre,"Fort Hood, Texas",11/5/2009,2009,13,30,43,Military,42.4894801,-83.1446485,Mass,,"Army psychiatrist Nidal Malik Hasan, 39, opened fire on an Army base in an attack linked to Islamist extremism. Hasan was injured during the attack and later arrested."
Binghamton shootings,"Binghamton, New York",4/3/2009,2009,14,4,18,Other,,,Mass,,"Jiverly Wong, 41, opened fire at an American Civic Association center for immigrants before committing suicide."
Carthage nursing home shooting,"Carthage, North Carolina",3/29/2009,2009,8,3,11,Other,,,Mass,,"Robert Stewart, 45, opened fire at a nursing home where his estranged wife worked before he was shot and arrested by a police officer."
Atlantis Plastics shooting,"Henderson, Kentucky",6/25/2008,2008,6,1,7,Workplace,,,Spree,,"Disgruntled employee Wesley Neal Higdon, 25, shot up an Atlantis Plastics factory after he was escorted out of his workplace for an argument with a supervisor. Higdon shot the supervisor outside the factory before opening fire on coworkers inside. He then committed suicide."
Northern Illinois University shooting,"DeKalb, Illinois",2/14/2008,2008,5,21,26,School,47.6229,-122.3165,Mass,,"Steven Kazmierczak, 27, opened fire in a lecture hall, then shot and killed himself before police arrived."
Kirkwood City Council shooting,"Kirkwood, Missouri",2/7/2008,2008,6,2,8,Other,,,Mass,,"Charles ""Cookie"" Lee Thornton, 52, went on a rampage at the city hall before being shot and killed by police."
Westroads Mall shooting,"Omaha, Nebraska",12/5/2007,2007,9,4,13,Other,,,Spree,,"Robert A. Hawkins, 19, opened fire inside Westroads Mall before committing suicide."
Crandon shooting,"Crandon, Wisconsin",10/7/2007,2007,6,1,7,Other,,,Mass,,"Off-duty sheriff's deputy Tyler Peterson, 20, opened fire inside an apartment after an argument at a homecoming party. He fled the scene and later committed suicide."
Virginia Tech massacre,"Blacksburg, Virginia",4/16/2007,2007,32,23,55,School,39.9622601,-83.0007065,Mass,,"Virginia Tech student Seung-Hui Cho, 23, opened fire on his school's campus before committing suicide."
Trolley Square shooting,"Salt Lake City, Utah",2/12/2007,2007,6,4,10,Other,44.9772995,-93.2654692,Mass,,"Sulejman Talovi?‡, 18, rampaged through the shopping center until he was shot dead by police."
Amish school shooting,"Lancaster County, Pennsylvania",10/2/2006,2006,6,5,11,School,40.7267682,-73.6342955,Mass,,"Charles Carl Roberts, 32, shot 10 young girls in a one-room schoolhouse in Bart Township, killing 5, before taking his own life."
Capitol Hill massacre,"Seattle, Washington",3/25/2006,2006,7,2,9,Other,41.7759324,-72.5214755,Mass,,"Kyle Aaron Huff, 28, opened fire at a rave afterparty in the Capitol Hill neighborhood of Seattle before committing suicide."
Goleta postal shootings,"Goleta, California",1/30/2006,2006,8,0,8,Workplace,,,Mass,,"Former postal worker Jennifer Sanmarco, 44, shot dead a former neighbor then drove to the mail processing plant where she used to work. Inside, she opened fire, killing six employees before committing suicide."
Red Lake massacre,"Red Lake, Minnesota",3/21/2005,2005,10,5,15,School,35.0529931,-78.8787058,Mass,,"Jeffrey Weise, 16, murdered his grandfather, who was a police officer, and grandfather's girlfriend. Weise then drove his grandfather's squad car to Red Lake Senior High School and opened fire on the reservation campus, killing another seven people before committing suicide."
Living Church of God shooting,"Brookfield, Wisconsin",3/12/2005,2005,7,4,11,Religious,34.008617,-118.494754,Spree,,"Living Church of God member Terry Michael Ratzmann, 44, opened fire at a church meeting at a Sheraton hotel before committing suicide."
Damageplan show shooting,"Columbus, Ohio",12/8/2004,2004,5,7,12,Other,37.76721,-87.5573742,Mass,,"Nathan Gale, 25, possibly upset about the breakup of Pantera, gunned down former Pantera guitarist Dimebag Darrell and three others at a Damageplan show before a police officer fatally shot Gale."
Lockheed Martin shooting,"Meridian, Mississippi",7/8/2003,2003,7,8,15,Workplace,,,Mass,,"Assembly line worker Douglas Williams, 48, opened fire at his Lockheed Martin workplace in a racially motivated attack before committing suicide."
Navistar shooting,"Melrose Park, Illinois",2/5/2001,2001,5,4,9,Workplace,,,Mass,,"Fired employee William D. Baker, 66, opened fire at his former Navistar workplace before committing suicide."
Wakefield massacre,"Wakefield, Massachusetts",12/26/2000,2000,7,0,7,Workplace,,,Mass,,"Michael McDermott, 42, opened fire on co-workers at Edgewater Technology and was later arrested."
Hotel shooting,"Tampa, Florida",12/30/1999,1999,5,3,8,Workplace,,,Spree,,"Hotel employee Silvio Leyva, 36, gunned down four coworkers at the Radisson Bay Harbor Inn before killing a woman outside who refused to give him her car. He was arrested shortly after the shootings."
Xerox killings,"Honolulu, Hawaii",11/2/1999,1999,7,0,7,Workplace,,,Spree,,"Byran Koji Uyesugi, 40, a Xerox service technician, opened fire inside the building with a 9mm Glock. He fled and was later apprehended by police."
Wedgwood Baptist Church shooting,"Fort Worth, Texas",9/15/1999,1999,8,7,15,Religious,47.3129607,-122.3393665,Mass,,"Larry Gene Ashbrook, 47, opened fire inside the Wedgwood Baptist Church during a prayer rally before committing suicide."
Atlanta day trading spree killings,"Atlanta, Georgia",7/29/1999,1999,9,13,22,Workplace,,,Mass,,"Day trader Mark O. Barton, 44, who had recently lost a substantial sum of money, went on a shooting spree through two day-trading firms. He started at the All-Tech Investment Group, where he worked, then went on to Momentum Securities. He fled and hours later, after being cornered by police outside a gas station, committed suicide. (Two days before the spree, he killed his wife and two children with a hammer.)"
Columbine High School massacre,"Littleton, Colorado",4/20/1999,1999,13,24,37,School,37.7789601,-122.419199,Mass,,"Eric Harris, 18, and Dylan Klebold, 17, opened fire throughout Columbine High School before committing suicide."
Thurston High School shooting,"Springfield, Oregon",5/21/1998,1998,4,25,29,School,42.3810555,-76.8705777,Mass,,"After he was expelled for having a gun in his locker, Kipland P. Kinkel, 15, a freshman at Thurston High, went on a shooting spree, killing his parents at home and two students at school. Five classmates wrestled Kipland to the ground before he was arrested.   "
Westside Middle School killings,"Jonesboro, Arkansas",3/24/1998,1998,5,10,15,School,31.1171194,-97.7277959,Mass,,"Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene."
Connecticut Lottery shooting,"Newington, Connecticut",3/6/1998,1998,5,1,6,Workplace,41.487104,-120.542237,Mass,,"Lottery worker Matthew Beck, 35, gunned down four bosses over a salary dispute before committing suicide."
Caltrans maintenance yard shooting,"Orange, California",12/18/1997,1997,5,2,7,Workplace,43.045601,-74.984891,Spree,,"Former Caltrans employee Arturo Reyes Torres, 41, opened fire at a maintenance yard after he was fired for allegedly selling government materials he'd stolen from work. He was shot dead by police."
R.E. Phelon Company shooting,"Aiken, South Carolina",9/15/1997,1997,4,3,7,Workplace,39.709283,-104.823488,Mass,,"Ex-con Hastings Arthur Wise, 43, opened fire at the R.E. Phelon Company in retaliation for being fired after an argument with a supervisor. He attempted suicide by ingesting insecticide, failed, and was executed by the state of South Carolina eight years later."
Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",2/9/1996,1996,6,1,7,Workplace,47.6038321,-122.3300624,Spree,,"Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide."
Walter Rossler Company massacre,"Corpus Christi, Texas",4/3/1995,1995,6,0,6,Workplace,33.9412127,-84.2135309,Mass,,"Disgruntled former metallurgist James Daniel Simpson, 28, opened fire throughout the Walter Rossler Company where he had worked before exiting the building and committing suicide."
Air Force base shooting,"Fairchild Air Force Base, Washington",6/20/1994,1994,5,23,28,Military,38.2542376,-85.759407,Mass,,"Former airman Dean Allen Mellberg, 20, opened fire inside a hospital at the Fairchild Air Force Base before he was shot dead by a military police officer outside."
Chuck E. Cheese's killings,"Aurora, Colorado",12/14/1993,1993,4,1,5,Workplace,33.741176,-118.1046356,Mass,,"Nathan Dunlap, 19, a recently fired Chuck E. Cheese's employee, went on a rampage through his former workplace and was arrested the following day. He now awaits execution on death row."
Long Island Rail Road massacre,"Garden City, New York",12/7/1993,1993,6,19,25,Other,34.436283,-119.8714406,Spree,,"Colin Ferguson, 35, opened fire on an eastbound Long Island Rail Road train as it approached a Garden City station. He was later arrested."
Luigi's shooting,"Fayetteville, North Carolina",8/6/1993,1993,4,8,12,Other,32.376081,-88.68978002,Mass,,"Army Sgt. Kenneth Junior French, 22, opened fire inside Luigi's Italian restaurant while ranting about gays in the military before he was shot and arrested by police."
101 California Street shootings,"San Francisco, California",7/1/1993,1993,9,6,15,Other,41.9005865,-87.8567277,Mass,,"Failed businessman Gian Luigi Ferri, 55, opened fire throughout an office building before he committed suicide inside as police pursued him."
Watkins Glen killings,"Watkins Glen, New York",10/15/1992,1992,5,0,5,Other,42.506484,-71.0728306,Mass,,"John T. Miller, 50, killed four child-support workers in a county office building before turning the gun on himself.  Miller was upset about a court order garnishing his paycheck to cover overdue child-support payments."
Lindhurst High School shooting,"Olivehurst, California",5/1/1992,1992,4,10,14,School,30.3321838,-81.655651,Mass,,"Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eight-hour standoff. He was later sentenced to death."
Royal Oak postal shootings,"Royal Oak, Michigan",11/14/1991,1991,5,5,10,Workplace,39.1637984,-119.7674034,Mass,,"Laid-off postal worker Thomas McIlvane, 31, opened fire at his former workplace before committing suicide."
University of Iowa shooting,"Iowa City, Iowa",11/1/1991,1991,6,1,7,School,28.0331886,-80.6429695,Spree,,"Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene."
Luby's massacre,"Killeen, Texas",10/16/1991,1991,24,20,44,Other,27.9477595,-82.458444,Mass,,"George Hennard, 35, drove his pickup truck into a Luby's cafeteria and opened fire before committing suicide."
GMAC massacre,"Jacksonville, Florida",6/18/1990,1990,10,4,14,Other,21.3255125,-157.8473055,Mass,,"James Edward Pough, 42, opened fire at a General Motors Acceptance Corporation office before committing suicide. (The day prior, Pough killed a pimp and prostitute and injured two others. Those victims are not included in the mass murder count.)"
Standard Gravure shooting,"Louisville, Kentucky",9/14/1989,1989,9,12,21,Workplace,32.2217429,-110.926479,Mass,,"Joseph T. Wesbecker, 47, gunned down eight people at his former workplace before committing suicide."
Stockton schoolyard shooting,"Stockton, California",1/17/1989,1989,6,29,35,School,32.5520013,-117.0430813,Mass,,"Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head."
ESL shooting,"Sunnyvale, California",2/16/1988,1988,7,4,11,Workplace,47.155846,-122.437031,Mass,,"Former ESL Incorporated employee Richard Farley, 39, gunned down seven people at his former workplace, after stalking and harassing a coworker he was romantically interested in. He was later arrested and now sits on death row at San Quentin."
Shopping centers spree killings,"Palm Bay, Florida",4/23/1987,1987,6,14,20,Other,33.7490987,-84.3901849,Spree,,"Retired librarian William Cruse, 59, was paranoid neighbors gossiped that he was gay. He drove to a Publix supermarket, killing two Florida Tech students en route before opening fire outside and killing a woman. He then drove to a Winn-Dixie supermarket and killed three more, including two police officers. Cruse was arrested after taking a hostage and died on death row in 2009."
United States Postal Service shooting,"Edmond, Oklahoma",8/20/1986,1986,15,6,21,Workplace,42.0986867,-75.9179738,Mass,,"Postal worker Patrick Sherrill, 44, opened fire at a post office before committing suicide."
San Ysidro McDonald's massacre,"San Ysidro, California",7/18/1984,1984,22,19,41,Other,41.6856325,-72.72983827,Mass,,"James Oliver Huberty, 41, opened fire in a McDonald's restaurant before he was shot dead by a police officer."
Dallas nightclub shooting,"Dallas, Texas",6/29/1984,1984,6,1,7,Other,33.7877944,-117.8531119,Mass,,"Abdelkrim Belachheb, 39, opened fire at an upscale nightclub after a woman rejected his advances. He was later arrested."
Welding shop shooting,"Miami, Florida",8/20/1982,1982,8,3,11,Other,33.5598586,-81.721952,Mass,,"Junior high school teacher Carl Robert Brown, 51, opened fire inside a welding shop and was later shot dead by a witness as he fled the scene."
